"loan_amnt","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","loan_status","purpose","title","zip_code","addr_state","dti","fico_range_low","fico_range_high","inq_last_6mths","open_acc","revol_bal","revol_util","total_acc","initial_list_status","total_pymnt","total_rec_prncp","total_rec_int","last_pymnt_amnt","last_fico_range_high","last_fico_range_low","tot_coll_amt","tot_cur_bal","total_rev_hi_lim","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_inq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit","year","loan_length","pull_length","credit_length"
10000,60,14.49,235.24,3,14,85517,4,0,50000,2,"1",2,8261,301,10,8.35,660,664,0,12,7185,58.9,24,1,8049.49,4273.85,3018.59,235.24,559,555,0,27518,12200,1,2293,684,89.9,106,90,22,22,0,47,14,1,5,6,5,5,16,7,8,6,12,0,81.8,80,33700,27518,6800,21500,2014,2.53150684931507,3.03561643835616,8.89041095890411
15000,36,11.99,498.15,2,8,125501,10,1,110000,1,"1",3,10356,269,39,11.74,660,664,1,7,36213,71.7,24,1,7860.48,4416.79,1561.01,498.15,619,615,225,179019,50500,5,25574,11623,75.2,132,225,33,2,6,33,2,0,4,5,4,9,6,5,12,5,7,2,100,50,204624,55093,46900,19124,2014,0.947945205479452,3.78082191780822,18.8219178082192
10000,36,6.03,304.36,1,1,125709,6,1,30000,3,"0",2,22200,767,32,15.16,740,744,0,16,15215,30.3,29,1,10956.78,10000,956.78,304.17,724,720,0,133872,50200,4,9562,30251,17.1,68,297,9,9,3,9,22,0,4,8,11,19,1,15,25,8,16,1,100,0,173439,15215,36500,0,2013,2.95068493150685,2.95068493150685,24.4794520547945
15000,36,16.24,529.14,3,15,91647,10,1,75000,2,"0",3,10356,407,34,13.76,675,679,0,12,14972,85.1,23,0,18631.75,15000,3631.75,5932.39,559,555,0,193744,17600,6,19374,91,97.5,177,367,6,6,4,6,11,0,3,5,4,6,6,8,13,5,12,1,87,100,211791,36622,3700,33275,2013,2.03287671232877,3.61643835616438,30.6602739726027
3825,36,17.57,137.46,4,19,107819,10,1,62000,1,"0",3,10356,454,22,7.92,660,664,3,9,3225,58.6,36,1,4941.43,3825,1116.43,542.71,679,675,158,189250,5500,4,21028,90,85,142,122,3,3,4,18,1,1,1,3,1,6,16,4,16,3,9,3,92.9,100,218313,20712,600,23490,2014,2.6986301369863,3.78356164383562,11.9753424657534
6400,36,21.99,244.39,5,24,98574,8,1,155000,3,"0",3,10356,593,17,11.96,670,674,2,17,28935,71.6,39,0,8421.45,6400,2021.45,3289.26,789,785,0,85694,40400,12,5041,6614,38.8,105,146,1,1,2,1,3,0,5,9,7,14,15,15,22,9,17,4,97.3,28.6,101551,85694,10800,61151,2014,1.78630136986301,4.95068493150685,19.5616438356164
10000,36,7.62,311.62,1,3,133107,10,1,50000,3,"1",4,14288,597,17,15.41,760,764,1,11,7619,20.4,27,1,10662.49,9423.74,1130.76,366.36,544,540,0,196816,37400,3,19682,17581,30.2,124,140,8,5,4,70,5,0,3,3,4,8,7,7,15,3,11,3,100,25,239830,23356,25200,17700,2013,2.52876712328767,5.03561643835616,11.5643835616438
2425,36,8.39,76.43,1,5,66592,10,1,91000,1,"0",3,10356,853,46,15.05,700,704,0,12,16443,68.2,29,1,2751.388,2425,326.39,76.34,694,690,0,272216,24100,4,24747,5357,75.4,127,127,9,9,2,9,10,1,6,6,6,13,6,9,21,6,12,3,96.6,50,288900,41212,21800,28000,2014,2.86849315068493,2.86849315068493,10.7232876712329
35000,60,18.99,907.73,5,21,27731,10,0,106000,3,"0",3,10356,207,44,21.24,665,669,0,5,18196,94.8,23,0,51557.42,35000,16557.42,926.5,644,640,0,82383,19200,2,16477,677,88.7,174,162,2,2,4,2,11,1,1,3,1,4,10,3,9,3,5,2,91.3,100,94836,82383,6000,75636,2014,4.28767123287671,4.28767123287671,14.6465753424658
18950,36,19.22,696.75,4,19,129972,10,1,101000,3,"0",2,8261,544,15,21.34,660,664,1,14,17259,64.6,19,1,23277.43,18950,4327.43,12129.43,669,665,120,55698,26700,7,3978,3418,72.9,112,154,3,3,0,3,5,0,4,9,6,6,6,12,13,9,14,2,100,50,78348,55698,12600,51648,2014,1.35890410958904,3.27945205479452,12.8986301369863
15000,36,17.57,539.06,4,19,35391,8,0,40000,2,"1",8,21701,819,5,30.96,700,704,0,7,6077,67.5,7,0,3758.78,2336.7,1422.08,539.06,589,585,50,45672,9000,5,6525,2326,69,10,32,11,8,0,11,8,0,3,4,3,3,2,4,4,4,7,4,100,33.3,53553,45672,7500,43394,2014,0.613698630136986,2.28767123287671,20.9808219178082
5600,36,11.67,185.12,2,9,7016,3,0,46000,2,"0",3,10356,585,17,20.19,685,689,1,16,17783,48.3,25,0,6302.49,5600,702.49,3706.45,689,685,0,40446,33900,4,2528,6278,68.8,168,144,2,2,0,2,6,0,6,10,7,9,6,14,19,10,16,3,100,42.9,64325,40446,22300,30425,2014,1.2,4.27945205479452,14.1452054794521
9900,36,16.29,349.48,3,14,42835,2,0,50000,1,"0",2,26126,669,42,10.82,670,674,0,9,8496,66.9,14,1,12356.68,9900,2456.68,1022.23,729,725,0,11392,12700,8,1266,2523,76.6,21,55,7,7,0,11,8,0,5,6,5,8,1,8,13,6,9,4,100,40,19651,11392,10800,6951,2013,2.36712328767123,3.11780821917808,4.55342465753425
14200,36,12.99,478.39,2,9,7309,10,0,54000,3,"0",3,30859,802,5,21.78,680,684,0,10,20908,68.6,21,1,14793.62,14200,593.62,13358.89,609,605,0,32447,30500,6,3245,5324,76.2,99,395,7,7,0,16,15,0,3,6,4,6,7,9,14,6,10,4,100,75,51956,32447,22400,21456,2013,0.284931506849315,4.44931506849315,32.5753424657534
2900,36,9.49,92.89,2,7,96147,0,1,156000,1,"0",9,24092,801,5,6.85,695,699,0,8,16711,77.7,11,1,3046.34,2900,146.34,2492.06,774,770,0,733336,21500,2,91667,2338,84.2,35,86,9,9,2,9,9,0,3,4,3,4,1,6,8,4,8,1,90.9,66.7,785988,37745,14800,38054,2014,0.528767123287671,2.03561643835616,7.22465753424658
17475,60,15.22,417.75,3,13,134382,10,1,49140,3,"0",3,27269,770,32,13.24,675,679,1,13,10837,71.3,25,1,24126.25,17475,6651.25,7834,674,670,0,135465,15200,3,10420,2315,76.4,212,230,6,6,2,21,6,0,4,7,7,9,6,11,17,7,13,1,96,57.1,151520,16664,9800,8430,2013,3.28493150684932,4.86575342465753,19.0657534246575
10000,36,11.55,330,2,8,110943,8,0,64000,1,"0",3,10356,815,5,13.97,670,674,0,13,17146,61,26,0,11879.91,10000,1879.91,329.91,664,660,0,17146,28100,4,1319,3322,76.3,147,288,9,9,0,9,9,0,4,11,4,9,2,13,24,11,13,1,100,50,28100,17146,14000,0,2013,2.95068493150685,5.44657534246575,23.7342465753425
12000,60,15.88,291.06,3,14,137757,10,1,116000,3,"0",3,10364,819,5,9.72,700,704,0,10,24945,95.2,43,0,14187.26,12000,2187.26,10112.42,664,660,0,994288,26200,0,110476,609,44.6,148,200,44,37,13,147,17,3,1,3,1,5,11,7,19,4,10,0,95,0,976901,24945,1100,0,2013,1.28219178082192,1.2,16.4821917808219
7000,36,15.61,244.76,4,16,8531,7,1,37000,2,"0",4,17327,827,5,15.02,705,709,1,7,2803,8.1,8,1,8443.45,7000,1443.45,3793.01,664,660,0,176465,34400,6,25209,29051,8.4,51,110,4,4,1,4,4,0,3,4,4,4,2,5,5,4,7,4,87.5,0,215012,18441,31700,17347,2014,1.61917808219178,1.61917808219178,9.30958904109589
1000,36,17.27,35.79,3,15,15281,6,1,28000,1,"0",9,31654,228,48,6.17,660,664,1,10,210,1,29,1,1282.17,1000,282.17,210.3,679,675,336,155384,21200,3,25897,20000,0,149,118,2,2,1,15,4,0,0,1,4,11,9,8,19,1,10,1,91,0,186450,12430,20000,16250,2012,2.52876712328767,5.78082191780822,12.3123287671233
9000,36,10.64,293.12,2,7,70375,1,0,47615,1,"0",2,5484,774,5,26.16,685,689,1,21,18433,78.1,33,1,10552.17,9000,1552.17,292.97,649,645,0,85797,23600,3,4086,4367,80.8,131,120,16,16,0,16,4,0,4,4,5,9,19,6,12,4,21,0,100,60,100882,85797,22800,74824,2013,2.95068493150685,5.36986301369863,10.8082191780822
17875,60,16.99,444.15,4,16,20318,8,1,40000,3,"0",2,8261,377,18,29.4,690,694,0,21,17552,60.9,41,0,18870.94,17875,995.94,17538.49,634,630,0,61741,28800,11,3087,6966,67.9,208,170,2,2,0,16,15,0,6,12,8,13,15,19,26,12,21,2,100,25,75896,61741,21700,47096,2014,0.276712328767123,5.11232876712329,17.3972602739726
7425,36,17.27,265.73,3,15,4882,10,1,72000,2,"0",3,30053,132,37,27.73,690,694,1,9,7444,82.7,18,0,8548.92,7425,1123.92,5625.89,649,645,0,135418,9000,7,15046,56,99.3,160,159,3,3,1,158,1,0,2,2,2,2,13,3,4,2,9,5,100,100,159094,70895,7500,75683,2012,0.947945205479452,5.53150684931507,13.2301369863014
15000,36,10.15,485.07,2,7,122411,4,1,106784,1,"0",3,10356,799,5,11,690,694,3,7,16031,76.7,19,0,17456.62,15000,2456.62,1449.31,719,715,79,330554,20900,4,47222,666,95.8,143,256,20,20,3,20,1,0,3,4,3,6,3,5,13,4,7,0,94.7,100,363469,39431,15900,31755,2014,2.78356164383562,2.86849315068493,21.4
16000,60,15.61,385.79,4,16,100039,10,1,72000,1,"1",3,10356,697,42,36.82,680,684,0,9,12326,74.7,29,1,11109.45,4491.59,3995.79,385.79,499,0,0,192200,16500,5,21356,620,92.2,147,215,12,5,5,12,8,1,3,5,3,3,19,5,5,5,9,2,93.1,100,211329,73392,8000,70302,2014,1.78356164383562,3.36438356164384,18.0630136986301
15000,36,9.49,480.43,2,7,101045,10,1,99000,1,"0",2,8261,462,22,32.75,720,724,4,17,31283,81.7,42,1,16363.37,15000,1363.37,190.15,819,815,0,368156,38300,3,23010,3081,90.4,112,540,20,5,5,20,3,0,3,4,3,5,24,5,11,4,17,1,100,66.7,434672,119326,32000,125475,2014,1.78356164383562,4.1972602739726,45.1643835616438
10000,36,6.03,304.36,1,1,124074,10,0,85000,1,"0",2,8261,306,10,7.5,735,739,0,10,7423,46.5,24,1,10956.78,10000,956.78,304.18,684,680,0,18743,16100,4,1874,4270,59.4,160,148,65,7,3,65,7,0,3,5,3,5,12,5,9,5,10,2,100,0,40627,18743,9400,24527,2014,2.95068493150685,4.61643835616438,13.3945205479452
35000,60,17.57,880.61,4,17,115146,10,1,150000,2,"0",2,8261,525,26,26.77,720,724,1,15,16970,56.9,30,1,45060.41,35000,10060.41,137.04,719,715,0,431317,29800,5,33178,6464,68.6,143,171,4,4,3,13,4,0,3,5,5,9,12,10,14,5,15,2,100,60,481890,178841,20600,172965,2014,1.95068493150685,4.11780821917808,14.3095890410959
15000,36,11.44,494.22,2,9,104232,8,1,580000,2,"0",4,17327,685,42,2.12,755,759,0,7,3019,54.9,10,1,16009.56,15000,1009.56,13063.31,664,660,0,420309,5500,1,70052,1610,32.9,93,100,31,24,2,93,16,0,1,2,2,2,3,4,4,2,7,0,100,0,471631,35333,2400,49131,2014,0.528767123287671,4.1972602739726,8.39178082191781
17000,36,11.99,564.57,2,8,93634,10,1,54996,2,"0",9,24092,212,44,24.26,770,774,1,9,13084,30.7,22,1,17170.01,17000,170.01,7.16,809,805,0,260027,42600,5,28892,9900,0,122,160,5,5,2,132,5,0,0,1,2,4,10,6,10,1,9,3,100,0,301305,43437,9900,40205,2013,0.115068493150685,1.36164383561644,13.3972602739726
